trip_id,membership_type,bicycle_id,bike_type,checkout_datetime,checkout_date,checkout_time,checkout_kiosk_id,checkout_kiosk,return_kiosk_id,return_kiosk,trip_duration_minutes,month,year
29777416,Local365,21652,electric,2023-05-31T17:32:30.000,2023-05-31T00:00:00.000,2025-11-19 17:32:30,4047,8th/Lavaca,4047,Barton Springs/Bouldin @ Palmer Auditorium,8,5,2023
29709217,Local365,16279,electric,2023-05-24T16:19:25.000,2023-05-24T00:00:00.000,2025-11-19 16:19:25,2499,2nd/Lavaca @ City Hall,2499,Barton Springs/Bouldin @ Palmer Auditorium,5,5,2023
29628450,Local365,19163,electric,2023-05-15T08:23:01.000,2023-05-15T00:00:00.000,2025-11-19 08:23:01,2567,Barton Springs/Bouldin @ Palmer Auditorium,2567,8th/Lavaca,8,5,2023
29769194,Explorer,21499,electric,2023-05-30T18:07:08.000,2023-05-30T00:00:00.000,2025-11-19 18:07:08,2549,South 1st/Riverside @ Long Center,2549,Riverside/South Lamar,38,5,2023
29772516,Local365,19287,electric,2023-05-31T09:16:27.000,2023-05-31T00:00:00.000,2025-11-19 09:16:27,2711,Barton Springs/Kinney,2711,3rd/West,7,5,2023
29754358,Local365,21698,electric,2023-05-29T11:04:47.000,2023-05-29T00:00:00.000,2025-11-19 11:04:47,4057,6th/Chalmers,4057,11th/Salina ,4,5,2023
29740080,Local365,21561,electric,2023-05-27T20:50:54.000,2023-05-27T00:00:00.000,2025-11-19 20:50:54,4055,11th/Salina ,4055,11th/Salina ,13,5,2023
29578838,Local365,21486,electric,2023-05-09T18:25:02.000,2023-05-09T00:00:00.000,2025-11-19 18:25:02,2539,3rd/Trinity @ The Convention Center,2539,11th/Salina ,11,5,2023
29560736,Local365,21422,electric,2023-05-07T18:41:04.000,2023-05-07T00:00:00.000,2025-11-19 18:41:04,3660,East 6th/Medina,3660,11th/Salina ,9,5,2023
29515386,Local365,21828,electric,2023-05-03T17:02:47.000,2023-05-03T00:00:00.000,2025-11-19 17:02:47,4052,Rosewood/Angelina,4052,11th/Salina ,48,5,2023
29537384,Local365,19198,electric,2023-05-05T17:33:58.000,2023-05-05T00:00:00.000,2025-11-19 17:33:58,4055,11th/Salina ,4055,Rosewood/Angelina,38,5,2023
29505917,Local365,19789,electric,2023-05-02T18:01:46.000,2023-05-02T00:00:00.000,2025-11-19 18:01:46,2495,4th/Congress,2495,5th/Bowie,6,5,2023
29509896,Local365,22581,electric,2023-05-03T10:20:31.000,2023-05-03T00:00:00.000,2025-11-19 10:20:31,2501,5th/Bowie,2501,South 1st/Riverside @ Long Center,6,5,2023
29775416,Local365,21823,electric,2023-05-31T14:20:25.000,2023-05-31T00:00:00.000,2025-11-19 14:20:25,2575,Riverside/South Lamar,2575,5th/Bowie,4,5,2023
29772314,Local365,21630,electric,2023-05-31T08:48:43.000,2023-05-31T00:00:00.000,2025-11-19 08:48:43,2501,5th/Bowie,2501,South 1st/Riverside @ Long Center,6,5,2023
29774689,Local365,19376,electric,2023-05-31T13:12:28.000,2023-05-31T00:00:00.000,2025-11-19 13:12:28,2494,2nd/Congress,2494,Barton Springs/Riverside,4,5,2023
29775363,Local365,21630,electric,2023-05-31T14:16:28.000,2023-05-31T00:00:00.000,2025-11-19 14:16:28,2549,South 1st/Riverside @ Long Center,2549,Riverside/South Lamar,3,5,2023
29659499,Local365,920,classic,2023-05-19T08:17:33.000,2023-05-19T00:00:00.000,2025-11-19 08:17:33,2501,5th/Bowie,2501,2nd/Lavaca @ City Hall,5,5,2023
29659685,Local365,21702,electric,2023-05-19T08:50:09.000,2023-05-19T00:00:00.000,2025-11-19 08:50:09,2499,2nd/Lavaca @ City Hall,2499,Barton Springs/Riverside,4,5,2023
29590351,Local365,18913,electric,2023-05-10T18:44:27.000,2023-05-10T00:00:00.000,2025-11-19 18:44:27,2549,South 1st/Riverside @ Long Center,2549,5th/Bowie,6,5,2023
29627477,Local365,22449,electric,2023-05-14T20:30:53.000,2023-05-14T00:00:00.000,2025-11-19 20:30:53,3687,Boardwalk West,3687,3rd/Nueces,15,5,2023
